서울경부,NAEK010
센트럴시티(서울),NAEK020
동서울(030),NAEK030
동서울,NAEK032
상봉,NAEK040
인천,NAEK100
부천,NAEK101
인천공항T1,NAEK105
서수원,NAEK109
수원,NAEK110
용인신갈,NAEK111
영통,NAEK112
신갈시외,NAEK114
고양화정,NAEK115
고양백석,NAEK116
인천공항T2,NAEK117
죽전,NAEK118
신갈영덕,NAEK119
성남(분당),NAEK120
광명(KTX역),NAEK125
광명(철산역),NAEK126
오산,NAEK127
안성,NAEK130
안성중대,NAEK131
안성풍림,NAEK132
안성공도,NAEK133
안성한경,NAEK134
안성대림,NAEK137
안성회관,NAEK138
여주대,NAEK139
여주,NAEK140
포천,NAEK146
신철원,NAEK147
철원,NAEK148
용인유림,NAEK149
용인,NAEK150
이천,NAEK160
1구간,NAEK161
구리,NAEK169
의정부,NAEK170
이천마장,NAEK171
이천부발(신하리),NAEK172
의정부,NAEK173
평택용이동,NAEK174
평택대,NAEK175
안중오거리,NAEK176
안중,NAEK177
평택,NAEK180
운천,NAEK186
안산,NAEK190
시흥(시화),NAEK195
강릉,NAEK200
동해,NAEK210
강원대(삼척),NAEK219
삼척,NAEK220
속초,NAEK230
횡성(휴)하행,NAEK238
횡성(휴)상행,NAEK239
원주,NAEK240
원주혁신,NAEK244
원주문막,NAEK245
원주기업,NAEK246
춘천,NAEK250
양양,NAEK270
영월,NAEK272
대전복합,NAEK300
대전청사,NAEK305
대전도룡,NAEK307
천안,NAEK310
당진,NAEK312
정안(휴)하행,NAEK315
정안(휴)상행,NAEK316
공주,NAEK320
인삼랜드(휴)하행,NAEK324
인삼랜드(휴)상행,NAEK325
금산,NAEK330
배방정류소,NAEK337
아산테크노밸리,NAEK338
아산온양,NAEK340
아산서부,NAEK341
아산탕정,NAEK342
천안아산역,NAEK343
아산둔포,NAEK344
천안공단,NAEK346
선문대,NAEK347
탕정삼성LCD,NAEK349
조치원,NAEK350
세종연구단지,NAEK351
세종시,NAEK352
세종청사,NAEK353
홍대조치원,NAEK354
고대조치원,NAEK355
세종연구단지,NAEK358
유성,NAEK360
세종국무조정실,NAEK361
세종시청,NAEK362
논산,NAEK370
연무대,NAEK380
당진기지시,NAEK388
홍성,NAEK389
내포,NAEK390
청양,NAEK391
정산,NAEK392
서산,NAEK393
태안,NAEK394
보령,NAEK395
안면도,NAEK396
창기리,NAEK397
예산,NAEK398
덕산스파,NAEK399
청주(고속),NAEK400
청주(센트럴),NAEK401
북청주,NAEK405
북부오창,NAEK406
청주공항,NAEK407
속리산,NAEK408
보은,NAEK409
중앙탑면,NAEK419
충주,NAEK420
서충주,NAEK421
황간,NAEK440
제천하소,NAEK449
제천,NAEK450
증평,NAEK455
괴산,NAEK457
죽전보정,NAEK477
광주(유·스퀘어),NAEK500
광주비아,NAEK503
목포,NAEK505
여천,NAEK509
여수,NAEK510
순천신대지구CGV,NAEK512
순천신대지구,NAEK513
순천,NAEK515
구례,NAEK519
광양,NAEK520
동광양,NAEK525
섬진강(휴)하행,NAEK528
섬진강(휴)상행,NAEK529
나주,NAEK530
강진,NAEK535
고흥,NAEK540
녹동,NAEK545
무안,NAEK550
해제,NAEK552
보성,NAEK554
벌교,NAEK555
영광,NAEK560
영산포,NAEK565
영암,NAEK570
완도,NAEK575
관산,NAEK576
회진,NAEK577
원동,NAEK578
장흥,NAEK580
함평,NAEK581
담양,NAEK582
장성,NAEK583
문장,NAEK584
지도,NAEK585
화순,NAEK586
능주,NAEK587
옥과,NAEK588
곡성,NAEK589
진도,NAEK590
남악,NAEK592
임자대광,NAEK593
임자진리,NAEK594
해남,NAEK595
전주,NAEK602
전주호남제일문,NAEK605
군산,NAEK610
익산,NAEK615
익산팔봉,NAEK616
애통리,NAEK619
김제,NAEK620
전북혁신,NAEK621
자치인재원,NAEK622
남원,NAEK625
덕과,NAEK626
태인,NAEK629
정읍,NAEK630
흥덕,NAEK634
고창,NAEK635
부안,NAEK640
전북강진,NAEK644
순창,NAEK645
봉동,NAEK649
진안,NAEK650
부산,NAEK700
서부산(사상),NAEK703
진해,NAEK704
마산,NAEK705
내서,NAEK706
창원,NAEK710
창원역,NAEK711
울산,NAEK715
울산신복,NAEK716
진주,NAEK722
진주개양,NAEK723
진주혁신,NAEK724
통영,NAEK730
김해,NAEK735
김해장유,NAEK736
동대구,NAEK801
서대구,NAEK805
대구용계,NAEK807
구미,NAEK810
선산(휴)하행,NAEK812
선산(휴)상행,NAEK813
경주,NAEK815
김천,NAEK820
김천혁신,NAEK821
낙동강(휴)하행,NAEK823
낙동강(휴)상행,NAEK824
상주,NAEK825
포항시청,NAEK828
포항,NAEK830
풍기,NAEK834
영주,NAEK835
안동,NAEK840
영덕,NAEK843
영천,NAEK845
영천망정,NAEK846
점촌,NAEK850
예천,NAEK851
경북도청,NAEK852
영주장수,NAEK862
영주꽃동산,NAEK863
